F01,F03,F06,F0701,F0702,F0703,F0704,F0901,F0902,F0903,F0904,F0905,F0906,F0907,F0908,F0909,F0910,F0911,F0912,F0913,F10,F11_1,F11_2,F11_3,F11_4,F11_5,F11_6,F11_7,F11_8,F11_9,F11_10,F11_11,F11_12,F11_13,F11_14,F11_15,F1201,F1202,F1203,F1204,F1205,F1206,F1301,F1302,F1303,F1304,F1305,F1306,F1401,F1402,F1403,F1404,F1405,F1406,F15,F16,F17_1,F17_2,F17_3,F17_4,F17_5,F17_6,F17_7,F1801,F1802,F1803,F19_1,F19_2,F19_3,F19_4,F19_5,F19_6,F20_1,F20_2,F20_3,F20_4,F20_5,F20_6,F20_7,F20_8,F20_9,F21,F2201,F2202,F2203,F2204,F23,F24,F25_1,F25_2,F25_3,F25_4,F25_5,F25_6,F25_7,F25_8,F26,F27,F28,F29,F3001,F3002,F3003,F3004,F3005,F3006,F3007,F3101,F3102,F3103,F3104,F3105,F3106,F3107,F3108,F3109,F3110,F3111,F3112,F3113,F3114,F3115,F32,F33_1,F33_2,F33_3,F33_4,F33_5,F33_6,F33_7,F33_8,F33_9,F33_10,F33_11,F33_12,F33_13,F33_14,F33_15,F33_16,F34_1,F34_2,F34_3,F34_4,F34_5,F34_6,F34_7,F34_8,F34_9,F34_10,F34_11,F34_12,F34_13,F34_14,F34_15,F35,F3601,F3602,F3603,F3604,F3605,F3606,F3607,F3608,F3701,F3702,F3703,F3704,F3705,F3706,F3707,F3708,F3709,F38_1,F38_2,F38_3,F38_4,F38_5,F38_6,F38_7,F38_8,F38_9,F38_10,F38_11,F38_12,F38_13,F38_14,F39,F4001,F4002,F4003,F4004,F4005,F4101,F4102,T_S0203,S08_1,S08_2,S08_3,S08_4,S08_5,S08_6,S08_7,S08_8,S08_9,S08_10,S08_11,S08_12,K_SCHICHT,K_KREIS,K_GESCHLECHT,GEWICHT
4,1,1,3,4,4,4,3,4,4,3,4,4,4,4,,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,,3,3,3,2,1,,,,2,1,1,,1,1,1,1,2,0,0,0,0,0,0,1,888,4,4,0,0,0,1,0,0,,,,,,,,,,3,3,3,3,3,4,2,,,,,,,,,,,2,1,5,2,1,2,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,3,,,3,,,3,5,5,5,5,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,2,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,69,6,2,22.7353
4,5,1,4,3,,3,3,4,3,4,4,3,4,2,3,2,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,3,2,4,1,1,,1,1,1,4,4,,1,1,1,2,1,1,0,0,0,0,0,0,2,3,3,0,0,0,1,0,0,,,,,,,,,,4,4,4,3,4,3,2,,,,,,,,,,,1,,5,4,2,,4,4,3,2,2,2,3,888,2,1,2,2,2,3,3,3,2,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,4,3,3,3,3,3,5,5,5,4,5,1,5,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,82,12,2,32.2407
4,2,1,3,4,3,3,4,4,3,3,4,3,4,3,3,3,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,4,5,4,,,,1,3,2,,,,2,3,3,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,3,4,3,3,3,3,2,,,,,,,,,,,2,2,5,4,2,4,4,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,2,3,3,,4,4,1,4,5,5,5,5,4,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,999,2,1,2,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,53,6,2,27.9531
4,2,1,3,3,4,3,3,4,4,3,4,4,4,3,,3,3,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,,4,3,2,,1,,1,1,1,,1,,1,3,1,1,2,0,0,0,0,1,0,0,2,3,3,0,0,0,1,0,0,,,,,,,,,,3,3,3,2,3,4,2,,,,,,,,,,,2,2,4,2,1,2,4,1,1,3,3,2,3,3,2,2,2,3,3,3,3,2,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,3,2,,3,3,,3,5,5,5,5,5,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,4,4,3,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,11,11,2,24.3158
4,1,1,4,4,4,4,4,3,4,2,4,2,4,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,2,4,4,1,1,,1,1,1,1,4,,1,1,1,1,2,0,0,0,0,1,0,0,4,4,3,0,0,0,1,0,0,,,,,,,,,,3,4,3,4,4,4,2,,,,,,,,,,,2,2,5,3,2,4,3,1,1,3,3,2,3,2,2,2,2,2,3,3,3,3,2,3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2,,,2,,,,1,5,4,1,5,1,5,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,2,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,11,11,2,24.3158
3,2,3,4,3,4,3,3,4,4,4,4,4,4,4,4,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,2,4,4,,2,,,,3,,5,,,2,2,,2,0,0,0,0,1,0,0,3,4,4,0,0,0,1,0,0,,,,,,,,,,3,4,3,4,4,4,2,,,,,,,,,,,1,,4,2,2,4,3,5,1,2,3,1,2,2,2,1,2,2,3,3,2,3,2,2,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,,3,2,3,2,,2,3,4,5,5,5,5,5,5,4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,999,4,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,53,6,2,27.9531
4,2,2,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,3,4,,,,,1,1,,,,,1,1,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,4,2,,,,,,,,,,,2,3,5,3,1,3,3,5,1,3,3,2,3,3,2,3,2,3,3,3,3,3,3,3,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,4,3,,3,,3,4,5,5,1,5,5,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,4,4,4,,1,0,0,0,0,0,0,0,0,0,0,0,1,77,3,2,24.8
4,1,3,4,,4,,,3,3,3,4,4,4,3,4,4,4,3,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,3,3,2,4,,,3,2,1,,,,,,,2,2,0,0,0,0,1,0,0,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,2,3,4,1,2,,,,,,,,,,,2,1,5,3,1,3,3,1,1,2,2,2,3,2,2,2,2,1,2,2,3,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,,3,4,5,5,5,2,1,1,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,,2,0,0,0,0,0,0,0,0,0,0,1,0,6,2,2,25.4167
4,2,3,4,4,2,4,4,4,4,4,4,4,4,3,3,3,4,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,4,4,3,1,1,,1,1,1,4,1,,2,3,1,2,2,0,0,0,0,1,0,0,4,4,3,0,0,0,1,0,0,,,,,,,,,,3,3,4,4,2,3,2,,,,,,,,,,,1,,5,3,4,4,3,5,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,3,2,3,3,3,5,5,5,5,5,1,5,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2,4,2,2,0,0,0,0,0,0,0,0,0,0,1,0,20,11,2,24.137
4,1,2,4,,1,,3,4,4,4,4,4,4,4,4,3,4,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,2,3,,,,,,,,,,,,,1,2,0,0,0,0,1,0,0,3,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,,2,,,,,,,,,,,2,3,5,1,5,2,3,5,2,3,3,2,3,3,2,2,2,3,3,3,3,3,2,3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,,,1,,1,,1,1,4,5,4,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,3,3,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,15,3,1,29.7258
4,5,1,4,,,4,3,4,4,4,4,4,4,4,3,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,4,5,,,,,3,5,,,,,3,1,2,0,0,0,0,1,0,0,3,999,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,3,4,3,3,4,,999,,,,,,,,,,,999,,2,2,1,2,1,2,3,1,999,999,999,999,999,999,999,999,999,999,999,999,1,999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,3,3,,3,3,5,5,,,,,5,5,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,999,999,999,999,999,1,4,2,0,0,0,0,0,0,0,0,0,0,0,1,22,7,1,23.225
4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,2,5,5,4,4,,2,5,5,4,4,,2,5,5,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,3,4,4,4,4,4,2,,,,,,,,,,,1,,2,2,2,3,3,4,4,3,3,2,3,3,3,2,2,2,3,3,3,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,4,,,4,,,4,2,1,2,3,5,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,4,4,4,4,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,70,10,2,23.9694
4,1,2,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,3,5,5,3,,2,1,2,4,4,,1,2,2,2,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,4,2,,,,,,,,,,,1,,5,2,2,2,5,5,4,1,999,1,999,999,999,999,999,999,999,999,999,999,999,999,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,3,3,3,1,4,3,4,,,,5,5,,5,5,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,2,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,77,3,2,24.8
4,1,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,2,4,4,1,,,1,2,2,3,,,1,1,2,1,2,0,0,0,0,1,0,0,3,888,3,0,0,0,1,0,0,,,,,,,,,,3,4,4,4,3,4,2,,,,,,,,,,,1,,5,2,1,3,3,4,2,3,3,1,3,2,2,2,2,3,3,3,3,3,2,3,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,,3,,,,3,,,3,5,4,5,5,5,5,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2,2,3,,1,0,0,0,0,0,0,0,0,0,0,0,1,11,11,2,24.3158
4,4,3,4,4,,4,3,3,4,4,4,4,4,2,2,3,4,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,4,5,1,1,,,1,1,3,4,,,3,2,1,2,0,0,0,0,1,0,0,3,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,3,4,4,2,,,,,,,,,,,1,,4,3,2,3,4,5,1,2,3,2,3,2,2,2,2,2,3,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,2,3,2,,2,3,1,5,5,5,5,5,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,,1,0,0,0,0,0,0,0,0,0,0,0,1,25,5,1,24.087
4,2,1,4,4,4,3,4,4,3,3,4,4,4,4,4,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,2,3,4,1,,,1,1,1,1,,,1,2,2,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,3,4,4,2,,,,,,,,,,,2,3,5,2,4,3,2,1,1,2,3,2,3,3,2,2,2,3,3,3,3,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,2,2,2,2,3,,2,2,5,5,5,5,3,5,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,2,1,,1,0,0,1,0,0,0,0,0,0,0,0,0,15,3,1,29.7258
4,4,1,4,4,,4,2,3,3,3,4,4,4,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,4,1,,,,1,1,,,,,1,1,,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,3,2,,,,,,,,,,,1,,4,1,1,4,4,5,4,2,2,1,1,2,2,2,2,2,3,3,2,3,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,3,1,3,3,,5,1,,5,5,5,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,13,10,2,26.0222
4,4,3,4,4,,4,4,3,3,2,4,4,3,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,5,,,,,4,4,,,,,4,4,1,2,0,0,0,0,1,0,0,999,999,4,0,0,0,1,0,0,,,,,,,,,,3,3,3,3,3,4,2,,,,,,,,,,,1,,5,3,3,4,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,2,2,3,2,3,5,5,5,5,5,5,5,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,22,7,1,23.225
4,1,2,3,3,4,3,3,4,3,4,4,4,3,2,3,1,3,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,3,4,2,1,1,,1,1,1,3,3,,3,,,1,2,0,0,0,0,1,0,0,4,3,3,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,4,2,,,,,,,,,,,1,,2,2,1,4,3,3,2,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,3,4,3,,2,,,4,1,5,4,5,5,1,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,25,5,1,24.087
4,1,3,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3,4,5,,,,,,,,,,,3,,1,1,0,0,0,0,0,0,1,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,1,1,0,0,0,0,1,0,0,0,4,,2,3,5,2,4,3,4,2,2,2,2,1,3,3,1,2,2,2,3,3,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,4,3,3,3,3,3,,4,5,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,999,3,3,3,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,71,4,1,34.8621
4,1,3,3,4,3,4,3,4,4,4,4,4,4,3,3,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2,1,5,4,4,,1,,1,1,1,,1,,1,1,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,3,4,4,3,4,2,,,,,,,,,,,2,3,5,2,1,5,5,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,3,3,3,3,3,3,1,5,5,5,5,5,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,1,31,9,2,25.448
3,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,3,4,4,1,,1,1,1,1,2,,4,2,2,1,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,3,4,4,4,2,,,,,,,,,,,2,1,5,4,2,4,3,5,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,4,,4,4,1,,4,4,5,5,5,5,5,2,5,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,15,3,1,29.7258
3,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,2,4,4,2,1,,3,1,3,4,4,,3,1,3,2,2,0,0,0,0,1,0,0,4,3,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,4,2,,,,,,,,,,,2,3,5,2,2,4,2,1,4,2,2,2,3,2,2,2,2,3,3,3,3,3,2,3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,3,,,2,3,3,3,3,5,5,4,5,1,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,31,9,2,25.448
4,5,2,4,4,,4,3,4,4,3,4,4,4,4,4,4,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,,3,4,3,2,,,2,2,1,3,,,3,2,2,1,1,0,0,0,0,1,0,0,3,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,3,4,4,2,,,,,,,,,,,2,2,4,3,1,4,3,1,1,2,3,2,3,3,2,3,2,2,3,3,3,3,2,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,3,4,2,3,3,3,3,4,5,5,5,5,5,5,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,3,2,3,,1,0,0,0,0,0,0,0,0,0,0,0,1,16,9,1,28.5568
3,2,3,4,,,,3,4,4,4,4,4,4,3,4,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,1,4,2,,,,,4,2,,,,,,1,1,2,0,0,0,0,1,0,0,999,4,4,0,0,0,1,0,0,,,,,,,,,,4,,3,,3,4,2,,,,,,,,,,,2,1,2,1,1,2,2,1,2,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,3,3,2,2,,3,3,5,5,5,1,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,71,4,1,34.8621
3,2,2,4,3,1,4,3,2,3,2,4,3,4,3,4,3,4,3,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,2,3,,,,,2,2,,,,,1,2,2,999,0,0,0,0,0,1,0,2,3,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,3,3,2,,,,,,,,,,,2,2,5,1,1,2,2,2,1,3,3,1,3,2,2,2,2,3,3,3,3,3,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,2,2,3,3,2,3,,3,5,5,5,4,4,1,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,70,10,2,23.9694
4,2,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,2,5,5,3,,,1,1,1,1,,,1,1,5,1,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,3,4,2,,,,,,,,,,,2,2,5,3,2,5,4,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,4,3,2,4,3,4,1,5,5,5,5,5,5,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,3,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,77,3,2,24.8
3,1,2,4,4,3,4,3,4,3,3,4,3,3,3,3,3,3,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,,,2,3,3,4,,,1,1,2,2,,,1,2,2,2,0,0,0,0,1,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,2,2,3,3,2,,,,,,,,,,,2,1,2,1,1,2,2,1,1,2,3,2,3,2,2,2,2,2,2,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,,,3,3,3,3,2,5,1,2,4,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,1,77,3,2,24.8
4,1,2,4,4,3,4,2,4,,2,4,3,,4,4,3,,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2,2,2,,,,2,2,2,,,,2,1,1,2,2,0,0,0,0,1,0,0,888,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,3,4,2,3,4,2,,,,,,,,,,,2,1,5,1,1,2,1,1,1,2,3,2,3,3,2,2,2,3,3,3,3,3,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,4,,,3,,3,,4,5,5,4,4,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,3,3,3,,,2,1,0,0,0,0,0,0,0,0,0,0,0,8,9,1,24.625
4,4,3,1,1,,1,4,4,3,4,4,4,4,4,4,4,4,,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,3,4,5,1,1,,1,1,1,3,3,,1,1,1,2,2,0,0,0,0,1,0,0,4,4,4,0,0,0,1,0,0,,,,,,,,,,3,3,3,4,4,4,2,,,,,,,,,,,1,,2,3,1,4,2,4,1,2,2,2,3,3,2,2,2,2,3,3,3,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,,,,,4,4,5,5,2,5,5,1,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,33,10,1,31.3636
4,4,3,4,4,,3,4,3,3,3,4,4,4,4,4,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,,4,5,5,5,,,5,1,1,5,3,,5,5,5,2,2,0,0,0,0,1,0,0,4,3,3,0,0,0,1,0,0,,,,,,,,,,3,4,3,4,4,4,2,,,,,,,,,,,2,2,5,4,4,4,4,4,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,3,2,,3,3,,4,3,5,5,5,5,5,5,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,70,10,2,23.9694
4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1,4,5,,,,,3,4,,,,,4,4,1,1,0,0,0,0,1,0,0,3,4,4,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,2,1,2,,,,,,,,,,,1,,5,3,2,3,2,4,1,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,3,3,2,3,4,5,1,5,5,1,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,3,3,2,3,,1,0,0,0,0,0,0,0,0,0,0,0,1,70,10,2,23.9694
4,5,2,4,3,,4,3,3,4,3,4,2,4,3,4,3,3,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,4,3,4,4,,,,,,,,4,,1,1,2,1,2,0,0,0,0,0,1,0,4,3,3,0,0,0,1,0,0,,,,,,,,,,4,4,4,4,4,4,2,,,,,,,,,,,2,2,4,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,2,3,2,3,3,3,5,5,5,5,5,2,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2,,1,0,0,0,0,0,0,0,0,0,0,0,1,72,2,2,24.72
